event_name,category,date,start_time,venue,address,organizer,description,price,capacity,latitude,longitude,rating,rating_count,traffic_score,tags
Local Art Fair in Kandy,Market,30-Jul-23,15:15,Kandy Cultural Centre,"127 Market Lane, Kandy",Kandy Sports Association,Hands-on workshop suitable for beginners and professionals.,100,100,7.244377,80.604387,4.5376,95.32,32.33677027,networking
Community Startup Pitch in Kandy,Business Expo,30-Aug-24,14:15,Kandy Regency Hotel,"107 Temple Road, Kandy",Festival Lanka,"Live performances, food stalls, and family activities.",1500,150,7.254517,80.659983,4.5376,95.32,32.33677027,student
Local Tech Summit in Kandy,Networking,11-Oct-25,7:15,Kandy Open-Air Stage,"93 Market Lane, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,500,250,7.297765,80.59617,4.5376,95.32,32.33677027,"student,tickets_required,kids"
Monthly Cultural Show in Kandy,Sports Event,14-Jan-25,11:45,Nawaloka Hall,"37 Peradeniya Road, Kandy",Sri Lanka Conference Org,A community-focused event bringing together locals and visitors.,0,400,7.297794,80.607207,4.5376,95.32,32.33677027,"kids,outdoor"
Annual Business Meetup in Kandy,Market,7-Jun-23,9:15,Pallekele International Cricket Stadium,"94 Market Lane, Kandy",Mahaweli Event Planners,Hands-on workshop suitable for beginners and professionals.,300,150,7.282466,80.632302,4.5376,95.32,32.33677027,kids
Local Job Fair in Kandy,Food Event,15-Nov-24,17:30,Kandy Regency Hotel,"95 Hill Street, Kandy",Kandy Music Circle,An outdoor celebration showcasing local culture and crafts.,0,200,7.284385,80.626807,4.5376,95.32,32.33677027,"registration,tickets_required"
Grand Music Night in Kandy,Music Event,6-Jan-25,21:15,Kandy Municipal Grounds,"118 Hill Street, Kandy",Heritage Kandy,"Live performances, food stalls, and family activities.",1500,50,7.317887,80.657862,4.5376,95.32,32.33677027,"kids,free"
Weekly Yoga Session in Kandy,Theatre,13-Nov-24,19:45,Temple of the Tooth Grounds,"133 Hill Street, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,1500,250,7.301226,80.634368,4.5376,95.32,32.33677027,"family,networking,outdoor"
Open Food Festival in Kandy,Sports Event,31-May-24,13:00,University of Peradeniya Lecture Theatre,"177 Temple Road, Kandy",Kandy Cultural Society,"Live performances, food stalls, and family activities.",2000,75,7.285932,80.650718,4.5376,95.32,32.33677027,"paid,networking,indoor"
Weekly Art Fair in Kandy,Art & Craft,12-Nov-23,18:00,Kandy City Centre Auditorium,"56 Lake Road, Kandy",Festival Lanka,"Live performances, food stalls, and family activities.",200,200,7.284302,80.637553,4.5376,95.32,32.33677027,"family,networking"
Local Coding Workshop in Kandy,Education,11-Aug-24,13:00,Kandy Lakefront Hall,"34 Peradeniya Road, Kandy",Kandy Municipal Council,An informative session with expert speakers and networking opportunities.,0,100,7.296197,80.591055,4.5376,95.32,32.33677027,"networking,family,indoor"
Community Food Festival in Kandy,Cultural Festival,15-Apr-26,21:00,Kandy City Centre Auditorium,"195 Lake Road, Kandy",Kandy Tourism Board,"Live performances, food stalls, and family activities.",0,400,7.288333,80.658122,4.5376,95.32,32.33677027,"tickets_required,indoor,student"
Local Cricket Match in Kandy,Market,25-Apr-23,20:45,Pallekele International Cricket Stadium,"18 Main Street, Kandy",Lanka Events Co.,An informative session with expert speakers and networking opportunities.,100,750,7.240278,80.603245,4.5376,95.32,32.33677027,"free,family"
Open Tech Summit in Kandy,Religious,15-Nov-24,19:45,Peradeniya Botanical Gardens Lawn,"126 Market Lane, Kandy",Heritage Kandy,Hands-on workshop suitable for beginners and professionals.,300,200,7.314602,80.64465,4.5376,95.32,32.33677027,tickets_required
Open Art Fair in Kandy,Education,26-Oct-25,10:00,Nawaloka Hall,"153 Lake Road, Kandy",Kandy Music Circle,An outdoor celebration showcasing local culture and crafts.,500,150,7.25326,80.659413,4.5376,95.32,32.33677027,"family,networking"
Weekly Handicraft Market in Kandy,Cultural Festival,24-Oct-23,21:00,Kandy Town Hall,"11 Market Lane, Kandy",Peradeniya Botanical Events,An informative session with expert speakers and networking opportunities.,0,100,7.294995,80.659907,4.5376,95.32,32.33677027,"family,indoor,kids"
Annual Business Meetup in Kandy,Theatre,24-Sep-26,13:15,Kandy Town Hall,"107 Lake Road, Kandy",Sri Lanka Conference Org,"Live performances, food stalls, and family activities.",0,1000,7.295531,80.632953,4.5376,95.32,32.33677027,kids
Community Food Festival in Kandy,Religious,7-Nov-25,17:00,Ramada Kandy Banquet,"196 Temple Road, Kandy",Kandy Foodies Club,An informative session with expert speakers and networking opportunities.,2000,250,7.286344,80.642121,4.5376,95.32,32.33677027,"professional,family"
Weekly Tech Summit in Kandy,Educational Workshop,12-Jan-23,21:00,Kandy Cultural Centre,"143 Garden Avenue, Kandy",Kandy Cultural Society,"Live performances, food stalls, and family activities.",1500,1000,7.28824,80.611245,4.5376,95.32,32.33677027,registration
Grand Startup Pitch in Kandy,Sports Event,21-Jan-25,18:30,Kandy Open-Air Stage,"198 Garden Avenue, Kandy",Kandy Music Circle,An informative session with expert speakers and networking opportunities.,0,1000,7.28571,80.63652,4.5376,95.32,32.33677027,"networking,kids,indoor"
Monthly Cricket Match in Kandy,Market,29-Sep-26,7:30,Peradeniya Botanical Gardens Lawn,"46 Market Lane, Kandy",Heritage Kandy,An outdoor celebration showcasing local culture and crafts.,1500,400,7.264263,80.595019,4.5376,95.32,32.33677027,"free,kids"
Local Handicraft Market in Kandy,Sports Event,23-May-24,12:45,Kandy Art Gallery,"74 Peradeniya Road, Kandy",Kandy Cultural Society,An informative session with expert speakers and networking opportunities.,300,50,7.301254,80.643181,4.5376,95.32,32.33677027,student
Community Art Fair in Kandy,Sports Event,1-May-23,12:45,Kandy Regency Hotel,"183 Main Street, Kandy",Lanka Events Co.,A community-focused event bringing together locals and visitors.,1000,1000,7.255205,80.598383,4.5376,95.32,32.33677027,"kids,outdoor,paid"
Open Job Fair in Kandy,Educational Workshop,2-Apr-25,14:45,Kandy Municipal Grounds,"119 Temple Road, Kandy",Kandy Municipal Council,An informative session with expert speakers and networking opportunities.,750,200,7.274789,80.635537,4.5376,95.32,32.33677027,professional
Local Business Meetup in Kandy,Theatre,23-Mar-23,8:00,Ramada Kandy Banquet,"75 Hill Street, Kandy",University of Peradeniya,Hands-on workshop suitable for beginners and professionals.,750,100,7.30171,80.616034,4.5376,95.32,32.33677027,"registration,free"
Local Coding Workshop in Kandy,Sports Event,23-May-23,7:00,Kandy Sports Complex,"50 Market Lane, Kandy",Local Artists Collective,An outdoor celebration showcasing local culture and crafts.,0,750,7.245711,80.648797,4.5376,95.32,32.33677027,"outdoor,free,student"
Annual Startup Pitch in Kandy,Music Event,24-Sep-23,8:00,Kandy Sports Complex,"71 Market Lane, Kandy",University of Peradeniya,An outdoor celebration showcasing local culture and crafts.,1000,50,7.317421,80.595253,4.5376,95.32,32.33677027,"professional,tickets_required,kids"
Community Tech Summit in Kandy,Business Expo,31-May-25,20:30,Mahaweli Reach Hotel Conference Room,"68 Hill Street, Kandy",Kandy Cultural Society,An informative session with expert speakers and networking opportunities.,100,750,7.258236,80.655606,4.5376,95.32,32.33677027,"professional,free"
Community Tech Summit in Kandy,Business Conference,16-Apr-24,18:00,Temple of the Tooth Grounds,"31 Temple Road, Kandy",Kandy Youth Network,An outdoor celebration showcasing local culture and crafts.,2000,75,7.312577,80.62041,4.5376,95.32,32.33677027,indoor
Monthly Business Meetup in Kandy,Music Event,18-Aug-26,19:30,Pallekele International Cricket Stadium,"179 Peradeniya Road, Kandy",University of Peradeniya,A community-focused event bringing together locals and visitors.,200,50,7.279913,80.656293,4.5376,95.32,32.33677027,family
Community Music Night in Kandy,Theatre,7-Mar-23,15:30,Kandy Lakefront Hall,"141 Hill Street, Kandy",Kandy Sports Association,An informative session with expert speakers and networking opportunities.,1500,1000,7.274956,80.645382,4.5376,95.32,32.33677027,"free,paid"
Weekly Coding Workshop in Kandy,Film Screening,3-Sep-26,13:00,Riverbank Event Space,"69 Peradeniya Road, Kandy",Heritage Kandy,An informative session with expert speakers and networking opportunities.,200,100,7.244714,80.646794,4.5376,95.32,32.33677027,"networking,family,tickets_required"
Weekly Yoga Session in Kandy,Art & Craft,7-Jun-23,16:30,Nawaloka Hall,"68 Market Lane, Kandy",Heritage Kandy,Hands-on workshop suitable for beginners and professionals.,300,300,7.255337,80.639539,4.5376,95.32,32.33677027,tickets_required
Annual Yoga Session in Kandy,Academic Seminar,14-Jun-25,14:00,Pallekele International Cricket Stadium,"18 Peradeniya Road, Kandy",Festival Lanka,A community-focused event bringing together locals and visitors.,0,400,7.253685,80.634838,4.5376,95.32,32.33677027,"student,professional,registration"
Grand Tech Summit in Kandy,Networking,20-Sep-26,18:45,Ramada Kandy Banquet,"3 Garden Avenue, Kandy",Kandy Music Circle,A community-focused event bringing together locals and visitors.,0,50,7.240244,80.638382,4.5376,95.32,32.33677027,"outdoor,networking,paid"
Open Tech Summit in Kandy,Theatre,23-Apr-23,11:15,Riverbank Event Space,"182 Garden Avenue, Kandy",Kandy Municipal Council,Hands-on workshop suitable for beginners and professionals.,300,750,7.291435,80.591131,4.5376,95.32,32.33677027,"student,free,tickets_required"
Annual Startup Pitch in Kandy,Networking,15-Aug-23,8:00,Mahaweli Reach Hotel Conference Room,"62 Hill Street, Kandy",Kandy Youth Network,A community-focused event bringing together locals and visitors.,2000,300,7.242157,80.629759,4.5376,95.32,32.33677027,"student,outdoor,registration"
Open Coding Workshop in Kandy,Art & Craft,20-Aug-26,17:00,Riverbank Event Space,"104 Market Lane, Kandy",Local Artists Collective,A community-focused event bringing together locals and visitors.,1000,250,7.31979,80.619975,4.5376,95.32,32.33677027,"free,registration"
Monthly Coding Workshop in Kandy,Food Event,2-May-25,11:30,Kandy Cultural Centre,"152 Peradeniya Road, Kandy",Kandy Cultural Society,An outdoor celebration showcasing local culture and crafts.,1000,300,7.280401,80.592496,4.5376,95.32,32.33677027,"indoor,paid,family"
Monthly Art Fair in Kandy,Religious,14-Mar-25,7:30,Mahaweli Reach Hotel Conference Room,"153 Market Lane, Kandy",University of Peradeniya,A community-focused event bringing together locals and visitors.,2000,300,7.300127,80.630906,4.5376,95.32,32.33677027,"indoor,registration,tickets_required"
Weekly Tech Summit in Kandy,Business Expo,23-Jun-24,6:15,Kandy Art Gallery,"116 Garden Avenue, Kandy",Sri Lanka Conference Org,"Live performances, food stalls, and family activities.",200,400,7.262327,80.648347,4.5376,95.32,32.33677027,networking
Community Handicraft Market in Kandy,Sports Event,8-Oct-25,16:15,Kandy Cultural Centre,"115 Main Street, Kandy",Festival Lanka,An informative session with expert speakers and networking opportunities.,0,100,7.29157,80.636537,4.5376,95.32,32.33677027,"student,free,outdoor"
Open Film Night in Kandy,Religious,19-Aug-24,19:45,Mahaweli Reach Hotel Conference Room,"95 Peradeniya Road, Kandy",Kandy Foodies Club,An informative session with expert speakers and networking opportunities.,1000,150,7.25627,80.64563,4.5376,95.32,32.33677027,"family,professional,free"
Open Job Fair in Kandy,Educational Workshop,22-Jan-26,7:00,Kandy City Centre Auditorium,"23 Peradeniya Road, Kandy",Kandy Foodies Club,A community-focused event bringing together locals and visitors.,100,500,7.240171,80.590214,4.5376,95.32,32.33677027,"free,registration"
Open Cricket Match in Kandy,Networking,28-Sep-25,22:30,Local Community Hall,"22 Hill Street, Kandy",Kandy Sports Association,An outdoor celebration showcasing local culture and crafts.,0,200,7.241478,80.651603,4.5376,95.32,32.33677027,"networking,student"
Local Cricket Match in Kandy,Business Expo,13-Nov-26,11:45,Kandy Lakefront Hall,"27 Temple Road, Kandy",Kandy Municipal Council,An outdoor celebration showcasing local culture and crafts.,100,100,7.267238,80.644637,4.5376,95.32,32.33677027,"indoor,student,kids"
Grand Job Fair in Kandy,Networking,6-Jul-23,22:30,Kandy Lakefront Hall,"103 Main Street, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,500,1000,7.309884,80.633733,4.5376,95.32,32.33677027,"paid,tickets_required,free"
Weekly Startup Pitch in Kandy,Religious,13-Feb-26,20:45,Kandy Open-Air Stage,"78 Main Street, Kandy",Lanka Events Co.,An outdoor celebration showcasing local culture and crafts.,2000,150,7.260401,80.641234,4.5376,95.32,32.33677027,"professional,kids"
Annual Job Fair in Kandy,Market,18-Sep-24,20:45,Local Community Hall,"184 Lake Road, Kandy",Local Artists Collective,An outdoor celebration showcasing local culture and crafts.,100,100,7.292314,80.602581,4.5376,95.32,32.33677027,"family,outdoor"
Open Cricket Match in Kandy,Business Expo,23-May-23,11:00,Bogambara Stadium,"189 Temple Road, Kandy",Kandy Sports Association,An outdoor celebration showcasing local culture and crafts.,200,50,7.305648,80.655197,4.5376,95.32,32.33677027,"professional,tickets_required,family"
Grand Handicraft Market in Kandy,Educational Workshop,13-May-25,17:15,Kandy Municipal Grounds,"85 Main Street, Kandy",Festival Lanka,An outdoor celebration showcasing local culture and crafts.,750,200,7.296196,80.654159,4.5376,95.32,32.33677027,"student,outdoor,tickets_required"
Community Book Reading in Kandy,Education,9-Mar-25,6:00,Kandy Sports Complex,"136 Garden Avenue, Kandy",Peradeniya Botanical Events,"Live performances, food stalls, and family activities.",1000,150,7.319715,80.599621,4.5376,95.32,32.33677027,"outdoor,free,professional"
Annual Tech Summit in Kandy,Theatre,28-Mar-23,15:45,Peradeniya Botanical Gardens Lawn,"92 Temple Road, Kandy",Local Artists Collective,An outdoor celebration showcasing local culture and crafts.,500,200,7.281249,80.64356,4.5376,95.32,32.33677027,"family,registration,indoor"
Community Startup Pitch in Kandy,Sports Event,3-Mar-24,12:45,Bogambara Stadium,"126 Peradeniya Road, Kandy",Sri Lanka Conference Org,An informative session with expert speakers and networking opportunities.,100,400,7.312494,80.61153,4.5376,95.32,32.33677027,outdoor
Open Film Night in Kandy,Art & Craft,27-Dec-26,7:45,Kandy City Centre Auditorium,"86 Main Street, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,0,250,7.240047,80.644411,4.5376,95.32,32.33677027,"professional,outdoor"
Annual Yoga Session in Kandy,Business Expo,6-Jan-24,14:45,Bogambara Stadium,"196 Peradeniya Road, Kandy",Lanka Events Co.,A community-focused event bringing together locals and visitors.,0,750,7.247452,80.620418,4.5376,95.32,32.33677027,"indoor,tickets_required,family"
Grand Art Fair in Kandy,Academic Seminar,9-Sep-24,16:00,Kandy Regency Hotel,"179 Garden Avenue, Kandy",Peradeniya Botanical Events,A community-focused event bringing together locals and visitors.,100,300,7.294495,80.642121,4.5376,95.32,32.33677027,professional
Annual Handicraft Market in Kandy,Market,12-Feb-25,15:00,Bogambara Stadium,"187 Hill Street, Kandy",Local Artists Collective,Hands-on workshop suitable for beginners and professionals.,500,1000,7.252407,80.618862,4.5376,95.32,32.33677027,"outdoor,tickets_required,professional"
Community Film Night in Kandy,Theatre,17-Jun-24,6:15,Pallekele International Cricket Stadium,"196 Temple Road, Kandy",Kandy Sports Association,An informative session with expert speakers and networking opportunities.,0,200,7.26265,80.598014,4.5376,95.32,32.33677027,"kids,student"
Open Art Fair in Kandy,Educational Workshop,29-Sep-26,18:45,Riverbank Event Space,"117 Main Street, Kandy",Kandy Music Circle,An informative session with expert speakers and networking opportunities.,100,150,7.300931,80.613873,4.5376,95.32,32.33677027,"professional,kids,registration"
Weekly Book Reading in Kandy,Religious,3-Sep-24,11:15,Pallekele International Cricket Stadium,"68 Garden Avenue, Kandy",Kandy Tourism Board,An outdoor celebration showcasing local culture and crafts.,0,300,7.24269,80.607993,4.5376,95.32,32.33677027,"free,paid,tickets_required"
Grand Job Fair in Kandy,Business Expo,2-Jul-25,7:30,University of Peradeniya Lecture Theatre,"85 Market Lane, Kandy",Festival Lanka,An informative session with expert speakers and networking opportunities.,1000,500,7.25174,80.650942,4.5376,95.32,32.33677027,family
Weekly Business Meetup in Kandy,Film Screening,13-Oct-24,15:30,Kandy Regency Hotel,"16 Lake Road, Kandy",Sri Lanka Conference Org,An outdoor celebration showcasing local culture and crafts.,0,500,7.289223,80.659682,4.5376,95.32,32.33677027,"student,registration,tickets_required"
Local Business Meetup in Kandy,Food Event,13-Feb-24,14:15,Local Community Hall,"113 Peradeniya Road, Kandy",Peradeniya Botanical Events,Hands-on workshop suitable for beginners and professionals.,2000,150,7.277228,80.5978,4.5376,95.32,32.33677027,student
Monthly Job Fair in Kandy,Business Conference,13-Feb-25,21:00,Kandy Art Gallery,"185 Garden Avenue, Kandy",Kandy Music Circle,Hands-on workshop suitable for beginners and professionals.,500,75,7.255799,80.610423,4.5376,95.32,32.33677027,"paid,student,family"
Open Art Fair in Kandy,Education,22-Jan-26,22:45,Pallekele International Cricket Stadium,"189 Temple Road, Kandy",Local Artists Collective,An outdoor celebration showcasing local culture and crafts.,300,100,7.280177,80.602611,4.5376,95.32,32.33677027,"professional,free"
Open Book Reading in Kandy,Business Conference,26-Jun-25,8:30,Pallekele International Cricket Stadium,"37 Main Street, Kandy",Festival Lanka,A community-focused event bringing together locals and visitors.,0,250,7.276488,80.615942,4.5376,95.32,32.33677027,"outdoor,indoor,paid"
Community Film Night in Kandy,Market,29-May-24,16:30,Local Community Hall,"194 Temple Road, Kandy",Kandy Music Circle,"Live performances, food stalls, and family activities.",300,100,7.317126,80.61421,4.5376,95.32,32.33677027,professional
Monthly Cricket Match in Kandy,Market,23-Feb-23,19:45,Kandy Town Hall,"171 Hill Street, Kandy",Kandy Foodies Club,An outdoor celebration showcasing local culture and crafts.,0,300,7.255794,80.650935,4.5376,95.32,32.33677027,outdoor
Community Food Festival in Kandy,Film Screening,15-Dec-24,16:00,Nawaloka Hall,"63 Market Lane, Kandy",Kandy Municipal Council,"Live performances, food stalls, and family activities.",200,50,7.313461,80.642314,4.5376,95.32,32.33677027,"student,professional,kids"
Annual Food Festival in Kandy,Sports Event,1-Oct-26,17:45,Riverbank Event Space,"25 Market Lane, Kandy",Local Artists Collective,A community-focused event bringing together locals and visitors.,300,250,7.304376,80.59013,4.5376,95.32,32.33677027,indoor
Grand Job Fair in Kandy,Cultural Festival,6-Mar-25,12:45,Nawaloka Hall,"132 Market Lane, Kandy",Kandy Sports Association,"Live performances, food stalls, and family activities.",1500,150,7.304282,80.658095,4.5376,95.32,32.33677027,"tickets_required,paid,free"
Grand Art Fair in Kandy,Film Screening,28-Sep-23,19:45,Kandy Cultural Centre,"163 Temple Road, Kandy",Kandy Youth Network,An informative session with expert speakers and networking opportunities.,0,100,7.270161,80.639679,4.5376,95.32,32.33677027,paid
Grand Startup Pitch in Kandy,Sports Event,11-Mar-24,16:00,Local Community Hall,"124 Hill Street, Kandy",Lanka Events Co.,A community-focused event bringing together locals and visitors.,500,500,7.311973,80.594183,4.5376,95.32,32.33677027,free
Annual Yoga Session in Kandy,Food Event,27-Apr-26,22:15,Kandy Lakefront Hall,"1 Peradeniya Road, Kandy",Heritage Kandy,Hands-on workshop suitable for beginners and professionals.,1000,200,7.293318,80.644622,4.5376,95.32,32.33677027,"free,student,tickets_required"
Weekly Cricket Match in Kandy,Religious,5-Mar-23,6:30,Kandy City Centre Auditorium,"134 Temple Road, Kandy",Lanka Events Co.,A community-focused event bringing together locals and visitors.,0,200,7.24634,80.639052,4.5376,95.32,32.33677027,"professional,indoor"
Grand Yoga Session in Kandy,Educational Workshop,9-Aug-23,9:30,Peradeniya Botanical Gardens Lawn,"159 Market Lane, Kandy",Heritage Kandy,Hands-on workshop suitable for beginners and professionals.,0,75,7.299131,80.635264,4.5376,95.32,32.33677027,"networking,free,paid"
Annual Handicraft Market in Kandy,Business Expo,30-Sep-25,19:30,Nawaloka Hall,"95 Hill Street, Kandy",University of Peradeniya,An outdoor celebration showcasing local culture and crafts.,100,750,7.26421,80.634414,4.5376,95.32,32.33677027,paid
Local Book Reading in Kandy,Cultural Festival,2-May-25,6:45,Kandy Cultural Centre,"77 Main Street, Kandy",Heritage Kandy,An outdoor celebration showcasing local culture and crafts.,2000,150,7.290533,80.658813,4.5376,95.32,32.33677027,"free,paid"
Local Cultural Show in Kandy,Religious,15-Jul-26,6:30,Temple of the Tooth Grounds,"198 Main Street, Kandy",Kandy Music Circle,Hands-on workshop suitable for beginners and professionals.,100,200,7.317219,80.642151,4.5376,95.32,32.33677027,"tickets_required,kids"
Annual Handicraft Market in Kandy,Cultural Festival,8-Apr-25,12:15,Peradeniya Botanical Gardens Lawn,"86 Peradeniya Road, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,750,75,7.29109,80.621533,4.5376,95.32,32.33677027,"paid,free,outdoor"
Grand Handicraft Market in Kandy,Education,30-Mar-25,21:45,Pallekele International Cricket Stadium,"174 Main Street, Kandy",Festival Lanka,A community-focused event bringing together locals and visitors.,1000,1000,7.252414,80.65876,4.5376,95.32,32.33677027,"outdoor,registration"
Weekly Cultural Show in Kandy,Educational Workshop,8-Mar-23,22:15,Riverbank Event Space,"139 Peradeniya Road, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,100,150,7.290754,80.623885,4.5376,95.32,32.33677027,"outdoor,paid"
Local Coding Workshop in Kandy,Music Event,10-Feb-26,19:30,Kandy Municipal Grounds,"16 Garden Avenue, Kandy",Sri Lanka Conference Org,"Live performances, food stalls, and family activities.",500,200,7.260161,80.622113,4.5376,95.32,32.33677027,kids
Open Music Night in Kandy,Education,26-Jul-23,13:45,Bogambara Stadium,"1 Temple Road, Kandy",Sri Lanka Conference Org,A community-focused event bringing together locals and visitors.,200,100,7.317467,80.626029,4.5376,95.32,32.33677027,registration
Local Yoga Session in Kandy,Academic Seminar,13-Oct-24,16:15,Temple of the Tooth Grounds,"93 Garden Avenue, Kandy",Kandy Municipal Council,An informative session with expert speakers and networking opportunities.,2000,50,7.246265,80.608825,4.5376,95.32,32.33677027,kids
Annual Handicraft Market in Kandy,Networking,13-Oct-25,19:00,Kandy Sports Complex,"79 Hill Street, Kandy",University of Peradeniya,Hands-on workshop suitable for beginners and professionals.,100,750,7.317562,80.601029,4.5376,95.32,32.33677027,family
Annual Tech Summit in Kandy,Business Expo,28-Feb-26,15:00,Mahaweli Reach Hotel Conference Room,"17 Lake Road, Kandy",Heritage Kandy,"Live performances, food stalls, and family activities.",200,300,7.296769,80.605348,4.5376,95.32,32.33677027,"student,professional,outdoor"
Annual Business Meetup in Kandy,Religious,18-Aug-26,12:45,Kandy Open-Air Stage,"62 Main Street, Kandy",Heritage Kandy,An outdoor celebration showcasing local culture and crafts.,0,500,7.262524,80.652365,4.5376,95.32,32.33677027,"free,kids,outdoor"
Open Job Fair in Kandy,Cultural Festival,13-Jun-26,14:15,Kandy Municipal Grounds,"60 Garden Avenue, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,200,50,7.252192,80.656684,4.5376,95.32,32.33677027,"paid,free"
Community Yoga Session in Kandy,Networking,17-Dec-24,20:00,Bogambara Stadium,"24 Hill Street, Kandy",Mahaweli Event Planners,"Live performances, food stalls, and family activities.",1000,100,7.264959,80.61501,4.5376,95.32,32.33677027,family
Weekly Job Fair in Kandy,Theatre,3-Feb-26,15:15,Kandy Cultural Centre,"123 Market Lane, Kandy",Kandy Municipal Council,Hands-on workshop suitable for beginners and professionals.,0,100,7.2936,80.629657,4.5376,95.32,32.33677027,student
Annual Business Meetup in Kandy,Market,19-Aug-26,13:30,Peradeniya Botanical Gardens Lawn,"161 Main Street, Kandy",Kandy Tourism Board,Hands-on workshop suitable for beginners and professionals.,0,150,7.307281,80.626099,4.5376,95.32,32.33677027,kids
Annual Music Night in Kandy,Music Event,11-Oct-23,14:00,Kandy Cultural Centre,"30 Temple Road, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,750,100,7.256875,80.609718,4.5376,95.32,32.33677027,"professional,tickets_required,free"
Monthly Art Fair in Kandy,Cultural Festival,30-Sep-23,21:45,Kandy Lakefront Hall,"110 Temple Road, Kandy",Heritage Kandy,"Live performances, food stalls, and family activities.",2000,750,7.299239,80.629435,4.5376,95.32,32.33677027,"networking,registration"
Weekly Film Night in Kandy,Academic Seminar,11-May-23,12:30,Nawaloka Hall,"177 Garden Avenue, Kandy",University of Peradeniya,An outdoor celebration showcasing local culture and crafts.,300,400,7.302901,80.633269,4.5376,95.32,32.33677027,"tickets_required,free"
Annual Startup Pitch in Kandy,Theatre,6-Aug-23,15:45,Peradeniya Botanical Gardens Lawn,"200 Main Street, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,0,100,7.2908,80.59897,4.5376,95.32,32.33677027,kids
Local Tech Summit in Kandy,Religious,4-Feb-26,8:30,Kandy Lakefront Hall,"105 Temple Road, Kandy",Kandy Music Circle,Hands-on workshop suitable for beginners and professionals.,2000,200,7.27451,80.618428,4.5376,95.32,32.33677027,professional
Annual Yoga Session in Kandy,Business Conference,2-Apr-26,16:00,Ramada Kandy Banquet,"127 Hill Street, Kandy",Kandy Youth Network,An outdoor celebration showcasing local culture and crafts.,500,400,7.312209,80.598987,4.5376,95.32,32.33677027,"free,family"
Weekly Job Fair in Kandy,Sports Event,5-Apr-25,11:30,Kandy Lakefront Hall,"138 Market Lane, Kandy",Kandy Music Circle,An outdoor celebration showcasing local culture and crafts.,500,400,7.318412,80.639788,4.5376,95.32,32.33677027,"kids,free"
Monthly Business Meetup in Kandy,Cultural Festival,15-May-23,8:45,Local Community Hall,"72 Temple Road, Kandy",Kandy Tourism Board,Hands-on workshop suitable for beginners and professionals.,750,100,7.244836,80.641331,4.5376,95.32,32.33677027,"outdoor,student,registration"
Annual Job Fair in Kandy,Music Event,8-Jan-26,18:45,Nawaloka Hall,"135 Temple Road, Kandy",Lanka Events Co.,Hands-on workshop suitable for beginners and professionals.,2000,1000,7.272569,80.626826,4.5376,95.32,32.33677027,"registration,student"
Monthly Food Festival in Kandy,Food Event,5-Dec-26,10:45,Nawaloka Hall,"165 Market Lane, Kandy",Kandy Sports Association,"Live performances, food stalls, and family activities.",200,250,7.291207,80.634841,4.5376,95.32,32.33677027,outdoor
Monthly Film Night in Kandy,Sports Event,17-Sep-26,20:45,Kandy Municipal Grounds,"154 Peradeniya Road, Kandy",Kandy Sports Association,A community-focused event bringing together locals and visitors.,100,200,7.297535,80.623333,4.5376,95.32,32.33677027,paid
Local Yoga Session in Kandy,Religious,20-Jun-24,9:15,Peradeniya Botanical Gardens Lawn,"151 Lake Road, Kandy",Kandy Youth Network,A community-focused event bringing together locals and visitors.,1000,300,7.248675,80.602841,4.5376,95.32,32.33677027,"kids,networking"
Community Art Fair in Kandy,Cultural Festival,18-Aug-25,15:30,Peradeniya Botanical Gardens Lawn,"167 Garden Avenue, Kandy",Kandy Foodies Club,An outdoor celebration showcasing local culture and crafts.,750,150,7.264643,80.600899,4.5376,95.32,32.33677027,"family,networking,free"
Grand Cricket Match in Kandy,Educational Workshop,30-May-23,6:45,Kandy City Centre Auditorium,"11 Garden Avenue, Kandy",Lanka Events Co.,A community-focused event bringing together locals and visitors.,200,200,7.252955,80.613832,4.5376,95.32,32.33677027,"student,professional,outdoor"
Monthly Book Reading in Kandy,Educational Workshop,23-Apr-23,13:15,Kandy Municipal Grounds,"88 Garden Avenue, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,0,100,7.297654,80.659299,4.5376,95.32,32.33677027,"kids,free,student"
Monthly Yoga Session in Kandy,Film Screening,18-Nov-24,22:30,Peradeniya Botanical Gardens Lawn,"33 Lake Road, Kandy",Kandy Tourism Board,A community-focused event bringing together locals and visitors.,0,75,7.271754,80.630626,4.5376,95.32,32.33677027,"registration,student,professional"
Local Tech Summit in Kandy,Education,30-Apr-23,19:15,Kandy City Centre Auditorium,"93 Temple Road, Kandy",Lanka Events Co.,"Live performances, food stalls, and family activities.",1500,400,7.295722,80.648121,4.5376,95.32,32.33677027,"student,kids,outdoor"
